1.035,873.15,10167.20719,433.7768585,-97.3365114,-24.34109704,5.078838135,6.19070748
1.035,923.15,8169.929465,410.248438,-127.2507064,-24.74936764,5.603444992,5.624891456
1.035,973.15,6172.309607,377.7920066,-160.4619657,-18.87257437,5.413421791,5.194264911
1.035,823.15,12157.94684,315.875734,-140.8787206,-16.76929869,-25.29382776,1.48744698
1.035,1023.15,4174.572938,343.6629441,-193.9411994,-11.58010653,5.262347828,3.751111311
1.035,1073.15,2176.661387,309.0045361,-227.3414503,-3.74562634,5.294957485,2.209312563
1.035,1123.15,178.5865924,274.1435858,-260.6377907,4.250832376,5.390061474,0.67018542
1.035,1173.15,-1819.620442,239.1854476,-293.8529113,12.2962097,5.502785441,-0.859758324
1.035,1223.15,-3817.933716,204.1709904,-327.0070105,20.35620455,5.619921687,-2.383137369
1.035,1273.15,-5816.32876,169.1205197,-360.119205,28.42220594,5.739358903,-3.901382231
1.035,1323.15,-7814.775241,134.0368721,-393.2118908,36.51133391,5.870023301,-5.418086638
3.015,873.15,10025.0329,143.6842544,-148.1707706,20.11214281,-39.54724293,1.903266414
3.015,923.15,8034.965252,338.8750973,-62.27631721,-10.38858212,5.986853376,2.803614321
3.015,973.15,6038.728972,324.3419079,-89.66757702,-17.86392747,5.342607824,2.532361313
3.015,1023.15,4043.068995,294.8835533,-123.0162352,-14.31104792,4.970768334,3.680617436
3.015,1073.15,2047.541523,262.1336967,-157.2337693,-8.137776567,4.26465334,2.450273674
3.015,1123.15,51.81913473,228.3039521,-191.4325704,-0.684777724,4.024964648,1.011006154
3.015,1173.15,-1944.181916,194.0535526,-225.4758986,7.193923562,3.980827623,-0.41742807
3.015,1223.15,-3940.448611,159.5963325,-259.3689884,15.21244007,4.002154897,-1.830436876
3.015,1273.15,-5936.933756,125.0209711,-293.1531961,23.28420391,4.050075198,-3.228957343
3.015,1323.15,-7933.468257,90.38534588,-326.9725149,31.45214338,4.149194961,-4.603287266
5.04,873.15,9840.387747,-866.1210064,-626.8481051,-189.9032572,-32.98858184,-19.97872411
