1.035,823.15,2289030.378,-3412.913257,-188.3861459,250.656095,15.60907273
1.035,873.15,2258700.665,-3665.722973,-273.9244527,167.8684847,-39.57147053
1.035,923.15,2198284.476,-3750.300301,-260.3963895,164.0575048,-42.56399637
1.035,973.15,2087082.227,-3734.821947,-249.543121,164.4960001,-41.50726553
1.035,1023.15,1895362.643,-3637.547059,-250.1246866,163.6790838,-38.92844494
1.035,1073.15,1582793.229,-3447.816738,-261.7954465,161.2754442,-34.46543093
1.035,1123.15,1097102.348,-3138.130531,-285.4527479,157.0217339,-27.36214578
1.035,1173.15,373099.7721,-2668.811704,-323.9923261,150.4970077,-16.66519615
1.035,1223.15,-667907.9788,-1989.849646,-381.4381726,141.0566963,-1.194543713
1.035,1273.15,-2118318.224,-1039.790494,-470.4123239,128.695059,19.75918223
1.035,1323.15,-4084095.886,285.6012301,-625.5781043,122.7726804,43.1243386
3.015,873.15,2255785.858,-1904.732272,-125.9988482,299.3526003,59.67417899
3.015,923.15,2192691.331,-2875.747163,-258.4375379,123.0366662,-30.62252637
3.015,973.15,2077164.978,-3266.116699,-201.7677788,119.2570835,-39.18733219
3.015,1023.15,1879027.076,-3367.503313,-154.8134773,124.7809556,-38.95537866
3.015,1073.15,1557320.516,-3279.100534,-136.7983739,126.7273231,-35.6650372
3.015,1123.15,1059103.909,-3021.844243,-142.4406414,124.8315897,-29.26271938
3.015,1173.15,318509.377,-2577.808309,-169.2271266,119.4123854,-18.96940725
3.015,1223.15,-743820.1165,-1907.579722,-217.8716678,110.229786,-3.648322579
3.015,1273.15,-2220908.044,-951.6933898,-318.8894642,99.45544583,15.77396713
3.015,1323.15,-4219166.997,451.5907138,-710.7586943,138.8762268,21.53225435
5.04,873.15,2252341.804,1580.200534,704.6643724,1021.724357,410.9241122
5.04,923.15,2186894.464,-1168.842547,-275.12956,103.6153308,4.273531863
5.04,973.15,2066786.141,-2350.102511,-210.6447157,58.18884972,-29.90430424
5.04,1023.15,1861878.102,-2837.935573,-100.916328,71.61289696,-35.12412477
5.04,1073.15,1530597.828,-2950.006664,-35.73852156,81.98171722,-34.24918504
5.04,1123.15,1019318.21,-2800.794504,-12.56635623,85.42792146,-29.33501306
5.04,1173.15,261475.3999,-2415.223061,-20.88839595,82.9659177,-19.9202478
5.04,1223.15,-822969.1956,-1774.05059,-56.92650527,75.32982725,-5.083727273
5.04,1273.15,-2327668.275,-825.1572067,-176.6875865,67.91085467,12.15779396
5.04,1323.15,-4359726.425,613.0274434,-503.8094587,123.6535079,21.52743093
7.02,923.15,2181084.345,1253.23795,-262.2458229,131.6681141,51.15673712
7.02,1023.15,1844653.643,-2095.882159,-81.64978216,8.354799183,-27.80367051
7.02,1073.15,1503792.999,-2488.624783,40.83071461,29.84373258,-30.34527337
7.02,1123.15,979494.033,-2492.938772,100.6589266,40.90319029,-27.53366421
7.02,1173.15,204512.0813,-2192.990287,115.1325941,43.09436577,-19.48082187
7.02,1223.15,-901857.9286,-1598.548595,95.50942533,37.90413129,-5.348920398
7.02,1273.15,-2433875.281,-668.4442585,-50.84851582,35.66572448,9.231520043
7.02,1323.15,-4499255.397,815.7544728,-438.8289273,118.5730306,11.71675658
9,923.15,2175074.642,4403.378214,-184.3861184,222.8852258,88.30351057
9,973.15,2045664.124,556.927694,-322.3179555,-88.14329482,3.291210456
9,1023.15,1826956.447,-1152.826177,-89.44917141,-64.62014654,-17.46206979
9,1073.15,1476301.405,-1901.066688,97.8735666,-29.75928617,-24.14087054
9,1123.15,938739.8922,-2101.502652,201.5273605,-9.077124255,-23.96264668
9,1173.15,146346.756,-1912.953081,243.6630817,-0.876548606,-17.6278362
9,1223.15,-982247.2168,-1380.936393,242.4853999,-2.371641688,-4.563888399
