-7.065332356044028150e-02,9.400738826922833136e-02,1.215649677297032105e-01,-9.545159441574278814e-02,1.287236229464612525e-01,-1.950627626844880433e-02,8.515168836569349253e-02,-5.107653170706158430e-02,-1.044387069159110615e-01,-5.163827303628969190e-02
-7.065340827301165583e-02,9.389120703444427118e-02,1.215654787343542070e-01,-9.521420674709321630e-02,1.282615539203381672e-01,-1.956940050042817875e-02,8.454616918330722097e-02,-5.043109852289858613e-02,-1.037466471601398987e-01,-5.064620726550329161e-02
-7.065360567934005076e-02,9.362161486462736160e-02,1.215780968654895655e-01,-9.467262057896211336e-02,1.271915526651034856e-01,-1.970019617286472569e-02,8.323957901523108827e-02,-4.918361924559352255e-02,-1.019189359154549085e-01,-4.997907258342895037e-02
-7.065391519847566415e-02,9.319807530960214081e-02,1.215942076755578277e-01,-9.381397849090297725e-02,1.255038578629246726e-01,-2.000703457567526780e-02,8.111954743392799094e-02,-4.725898056822835924e-02,-9.892734609314944583e-02,-4.790869186664581392e-02
-7.065433733524277560e-02,9.262057831218613313e-02,1.216186520211167549e-01,-9.264882565727942942e-02,1.232088667512396402e-01,-2.041844000496135375e-02,7.826210405827591088e-02,-4.470872393365536712e-02,-9.486133294071598387e-02,-4.552848511082401017e-02
-7.065487198777567479e-02,9.188856369968723126e-02,1.216473919710638341e-01,-9.117240947666191420e-02,1.203038826273926110e-01,-2.097672168570604082e-02,7.462858949445851098e-02,-4.152058813341902993e-02,-8.968688526943358053e-02,-4.205792439498205054e-02
-7.065551966502750525e-02,9.100172837009576354e-02,1.216838257475599122e-01,-8.939428698266678464e-02,1.167996055535826111e-01,-2.162681315299715135e-02,7.028477770983461437e-02,-3.774670611096417328e-02,-8.350597997338259082e-02,-3.826145739462381151e-02
-7.065628039451550546e-02,8.995931770538420635e-02,1.217241728958137342e-01,-8.731216221231391517e-02,1.126968846411085801e-01,-2.240003045441981561e-02,6.520538279185009167e-02,-3.339034969375922340e-02,-7.631717705828157394e-02,-3.351821273805577484e-02
-7.065715477704180569e-02,8.876076299714577567e-02,1.217711958844334419e-01,-8.493602550223110226e-02,1.080077947644746406e-01,-2.324279767835431276e-02,5.945774106397245379e-02,-2.850536477520304243e-02,-6.823241642895469528e-02,-2.846933378692875424e-02
-7.065814297544723011e-02,8.740509718526129346e-02,1.218213782676014073e-01,-8.226601459462877519e-02,1.027367084878067077e-01,-2.417659420472989887e-02,5.303018293417956219e-02,-2.311126101380587411e-02,-5.928016792122210027e-02,-2.262492824719768841e-02
