9.213331368709228898e-04,-1.007535382996706990e-03,-3.835801886649642389e-03,-1.922153445029374692e-03,-4.622088103165391051e-03,-1.312205834491283031e-03,5.460979419844728781e-03,-5.179358206039100937e-04,1.328374605564197316e-03,5.192295189047948503e-04
2.756919718438347912e-03,-3.027264553822733763e-03,-1.154220577822102738e-02,-5.954441788486854355e-03,-1.425831316718340937e-02,-4.233492615337428738e-03,1.847309935277225562e-02,-3.599299310741219463e-03,1.043317521837735205e-02,5.691827166546522231e-03
4.593327752483845547e-03,-5.045906413470416067e-03,-1.923840854098486652e-02,-9.956537137912486665e-03,-2.383902346127009242e-02,-7.131420721201951751e-03,3.133615364440459072e-02,-6.618090663321655499e-03,1.939913221579388225e-02,1.057177483788311612e-02
6.431350701708769824e-03,-7.062299277219284167e-03,-2.691502885488415361e-02,-1.390081498207531435e-02,-3.331630437971410535e-02,-9.979880257887799658e-03,4.393148655608074271e-02,-9.563782024037296298e-03,2.808652854200268181e-02,1.539642464254077116e-02
8.271775191849059516e-03,-9.075310750322649125e-03,-3.456239393745162702e-02,-1.775937260342587767e-02,-4.263698600239985287e-02,-1.275224740804203893e-02,5.610985374903273287e-02,-1.233049831778724667e-02,3.636404871835721697e-02,2.001058993470477068e-02
1.011539517114000419e-02,-1.108384721123722647e-02,-4.217077812106593410e-02,-2.150421087327872294e-02,-5.174957626252497250e-02,-1.542388505616983790e-02,6.773342588482204885e-02,-1.485719254294763821e-02,4.407422480345337540e-02,2.431820087027031577e-02
1.196301310198065286e-02,-1.308678548305365272e-02,-4.973021741563098813e-02,-2.510707249065372362e-02,-6.060216215731177580e-02,-1.796908724918596517e-02,7.866700744899028652e-02,-1.706889281873212594e-02,5.109932603459382827e-02,2.828772237481275847e-02
1.381544427673150888e-02,-1.508300392378796387e-02,-5.723052474155732733e-02,-2.853960689347765506e-02,-6.914282447162320433e-02,-2.036352898647197582e-02,8.877904595588979875e-02,-1.891343038140652980e-02,5.730067879394915020e-02,3.184193866951678248e-02
1.567351801654076962e-02,-1.707134565698232090e-02,-6.466115623730930850e-02,-3.177318294233182072e-02,-7.731892501888186497e-02,-2.258199308254803597e-02,9.794084573992427323e-02,-2.032525523985593066e-02,6.257428833165493143e-02,3.494888854672103390e-02
1.753808199840697565e-02,-1.905064518595411469e-02,-7.201121689886774702e-02,-3.477898544900065447e-02,-8.507767635241474113e-02,-2.460050146894520590e-02,1.060284611284041945e-01,-2.125856493935447331e-02,6.680349151396308693e-02,3.753748400732093843e-02
